candidate_a,candidate_b,layer_a,layer_b,family_a,family_b,rmse_a,rmse_b,better_single_rmse,residual_cosine,equal_50_rmse,equal_50_delta_vs_better,full_oof_opt_weight_b,full_oof_opt_rmse_diagnostic,grid05_weight_b_diagnostic,grid05_rmse_diagnostic,crossfit_weight_b_mean,crossfit_weight_b_std,crossfit_weight_b_min,crossfit_weight_b_max,crossfit_rmse,crossfit_delta_vs_better,crossfit_folds_beating_better_parent,crossfit_fold_weights_b
sc8,sc15,candidate_path,candidate_path,ncc,ncc,261.7252061676566,250.36641270986058,250.36641270986058,0.3882593260324865,213.34626662912925,-37.02014608073134,0.5362186737160951,213.0992541691455,0.55,213.13503504588414,0.5362166134853154,0.0007756175420067334,0.535254005731757,0.5370777579779427,213.1002731101416,-37.266139599719,5,"[0.5365971186029678, 0.5370777579779427, 0.535254005731757, 0.5368373599472488, 0.5353168251666608]"
hyb,slope_last50,candidate_path,candidate_path,aggregate_or_anchor,slope,117.24898370025957,113.63515605037344,113.63515605037344,-0.08762994237987613,77.98265691666566,-35.65249913370778,0.5143880830875341,77.94416108893292,0.5,77.98265691666566,0.5158430882797632,0.022749677100502554,0.4876109304635542,0.5463208045466957,78.80402454581801,-34.83113150455543,5,"[0.4974044708638536, 0.5463208045466957, 0.4876109304635542, 0.5099627989979989, 0.5379164365267138]"
sc8,sc25,candidate_path,candidate_path,ncc,ncc,261.7252061676566,239.82527451645356,239.82527451645356,0.3550262486991573,206.50971393614546,-33.3155605803081,0.5674295025309851,205.61114215246073,0.55,205.67130207532654,0.5674287294841152,0.0009585242432758446,0.5656645595687692,0.5683407765631391,205.61277238259152,-34.212502133862046,5,"[0.5676348185808606, 0.5673053352496307, 0.5681981574581766, 0.5683407765631391, 0.5656645595687692]"
sc15,sc25,candidate_path,candidate_path,ncc,ncc,250.36641270986058,239.82527451645356,239.82527451645356,0.4208704300642798,206.60418323776403,-33.22109127868953,0.5370897048257395,206.37214921611053,0.55,206.40027675554367,0.5370914843193499,0.0010886824687016457,0.5360071481946238,0.5389650731159299,206.3739485688569,-33.45132594759667,5,"[0.5369281496090386, 0.5360071481946238, 0.5389650731159299, 0.5374917794669761, 0.5360652712101811]"
formation_astnu_weighted,signal_mean,candidate_path,candidate_path,formation,aggregate_or_anchor,58.32768802551824,57.35111659304531,57.35111659304531,0.06732592964681867,42.25429420225934,-15.096822390785974,0.5090507569376415,42.24824437522689,0.5,42.25429420225934,0.5029350298579663,0.06200095350996949,0.38171835074734,0.5480559442459187,44.59626906194125,-12.754847531104062,3,"[0.38171835074734, 0.5480559442459187, 0.520062706628154, 0.5475722246779021, 0.5172659229905165]"
formation_ancc_weighted,signal_mean,candidate_path,candidate_path,formation,aggregate_or_anchor,57.77932232699875,57.35111659304531,57.35111659304531,0.07836233606017769,42.2697899360053,-15.081326657040009,0.5040354788397219,42.26861326872505,0.5,42.2697899360053,0.4975367561718981,0.06473171632373749,0.3709013297180293,0.5444580688999927,44.76510732367938,-12.586009269365931,2,"[0.3709013297180293, 0.5444580688999927, 0.5125966658610186, 0.5439342302562392, 0.5157934861242108]"
formation_astnl_last50,signal_mean,candidate_path,candidate_path,formation,aggregate_or_anchor,57.68573650799582,57.35111659304531,57.35111659304531,0.08433011186378372,42.35203764775743,-14.999078945287884,0.5031766656548708,42.35131582647217,0.5,42.35203764775743,0.4960432839284774,0.0680689713662456,0.36203340523647987,0.5435643194994959,45.062195793446826,-12.288920799598486,3,"[0.36203340523647987, 0.5435643194994959, 0.5137457556400361, 0.5420740801046722, 0.518798859161703]"
formation_astnl_weighted,signal_mean,candidate_path,candidate_path,formation,aggregate_or_anchor,57.012768049597334,57.35111659304531,57.012768049597334,0.08478467207259566,42.113106523495674,-14.89966152610166,0.4967674323543762,42.11236397060944,0.5,42.113106523495674,0.4899545539923592,0.0668570591722927,0.35859470696587814,0.5369893421422534,44.71970438430982,-12.293063665287512,2,"[0.35859470696587814, 0.5369893421422534, 0.5068096743550773, 0.5363674512096702, 0.5110115952889165]"
formation_astnu_last50,signal_mean,candidate_path,candidate_path,formation,aggregate_or_anchor,59.00243007417994,57.35111659304531,57.35111659304531,0.06723433873352891,42.50135253394487,-14.849764059100444,0.5152116833649636,42.48415716295505,0.5,42.501352533944875,0.5088215173131059,0.06311989032695672,0.3850826691005128,0.5544277953167821,44.92474662826099,-12.426369964784321,3,"[0.3850826691005128, 0.5544277953167821, 0.5266623096187072, 0.5529946032877707, 0.5249402092417564]"
formation_ancc_last50,signal_mean,candidate_path,candidate_path,formation,aggregate_or_anchor,58.49913520350892,57.35111659304531,57.35111659304531,0.07780562533354451,42.524621387235655,-14.826495205809657,0.5107443373865208,42.516219671076264,0.5,42.524621387235655,0.5040034103378723,0.06558063123349897,0.37543707575673424,0.5513392617626851,45.090053117253596,-12.261063475791715,2,"[0.37543707575673424, 0.5513392617626851, 0.5199815517235783, 0.5498559883650207, 0.5234031740813427]"
formation_egfdl_last50,signal_mean,candidate_path,candidate_path,formation,aggregate_or_anchor,57.501868292131036,57.35111659304531,57.35111659304531,0.10339045155884344,42.65423994069183,-14.696876652353481,0.5014639142856483,42.65409138178044,0.5,42.65423994069183,0.49398419210995037,0.06982851222878644,0.3565185780749778,0.5420202169458561,45.41324291231886,-11.937873680726454,2,"[0.3565185780749778, 0.5420202169458561, 0.5113467456722663, 0.5417982828652083, 0.5182371369914436]"
