prediction,kind,deploy_status,scope,rows,rmse,mae,within10
likpf_mean,single,reference,overall,3783989,11.594897672217703,7.067632584311985,0.772807479091509
likpf_mean,single,reference,000_050,37877,1.1785243315765996,0.8071045804924493,1.0
likpf_mean,single,reference,050_100,38650,1.914126372230948,1.356566163688551,0.9991461836998706
likpf_mean,single,reference,100_250,115950,2.924573782846915,2.0333785946259164,0.9890297542043984
likpf_mean,single,reference,250_500,193158,4.693758685833879,3.18823797058302,0.9507553401878255
likpf_mean,single,reference,500_1000,385912,6.671912538391811,4.438511850762771,0.8798404817678642
likpf_mean,single,reference,1000_plus,3012442,12.702990216236357,7.998946724728953,0.7336028378305707
likpf_mean,single,reference,hidden_spatial,972463,13.643807871154252,8.536219838826772,0.7130780297039578
likpf_mean,single,reference,hidden_typewell_purged,976449,13.50680108059878,8.40448257458275,0.7195460285176184
exact_hmm,single,reference,overall,3783989,11.938287416925935,6.769554810929187,0.7843883795645283
exact_hmm,single,reference,000_050,37877,0.8906625046002931,0.5690843006227394,1.0
exact_hmm,single,reference,050_100,38650,1.487758345547069,0.9236750838858344,0.9991461836998706
exact_hmm,single,reference,100_250,115950,2.671995052994556,1.6120744309912678,0.9900560586459681
exact_hmm,single,reference,250_500,193158,4.39506352240225,2.6556424076241987,0.9521686909162448
exact_hmm,single,reference,500_1000,385912,6.206239483801867,3.800192860921013,0.9020476170733224
exact_hmm,single,reference,1000_plus,3012442,13.135431800340431,7.765210768412201,0.7451748448600836
exact_hmm,single,reference,hidden_spatial,972463,12.56449196316909,7.749213420025363,0.7384507174051866
exact_hmm,single,reference,hidden_typewell_purged,976449,12.367244544983683,7.59592289054203,0.7455361211901492
hmm_lgb_exp148,single,reference,overall,3783989,8.3277284922205,4.8119637879476365,0.8588206783899214
hmm_lgb_exp148,single,reference,000_050,37877,0.7775510670911437,0.51262773665417,1.0
hmm_lgb_exp148,single,reference,050_100,38650,1.1506211165772522,0.7417361335705045,1.0
hmm_lgb_exp148,single,reference,100_250,115950,1.9994021625388927,1.2240375026951271,0.9965674859853385
hmm_lgb_exp148,single,reference,250_500,193158,3.246901130454937,1.9769738526475087,0.9808395199784632
hmm_lgb_exp148,single,reference,500_1000,385912,4.752388528260333,2.963885791968117,0.9417095089035843
hmm_lgb_exp148,single,reference,1000_plus,3012442,9.130472564683794,5.474873402386254,0.8314898676887389
hmm_lgb_exp148,single,reference,hidden_spatial,972463,9.572231106467184,5.561182623802268,0.8343967842478326
hmm_lgb_exp148,single,reference,hidden_typewell_purged,976449,9.54537543784559,5.511178900256503,0.8376873753775159
exp226_k16,single,reference,overall,3783989,9.42710967407494,6.148527388916663,0.8077245996222505
exp226_k16,single,reference,000_050,37877,1.7428654268642756,1.2009614385048974,1.0
exp226_k16,single,reference,050_100,38650,1.6706161871257663,1.1673763189278783,1.0
exp226_k16,single,reference,100_250,115950,2.184185953963403,1.5262053535333118,0.9983096162138853
exp226_k16,single,reference,250_500,193158,3.5411018113256816,2.513319781037415,0.981859410430839
exp226_k16,single,reference,500_1000,385912,5.469033371082773,3.788259223240985,0.9325390244408052
exp226_k16,single,reference,1000_plus,3012442,10.331434870524165,6.988013733827697,0.7683493989261868
exp226_k16,single,reference,hidden_spatial,972463,9.399890507748191,6.259225894270849,0.804421350735195
exp226_k16,single,reference,hidden_typewell_purged,976449,9.41337380784367,6.283442272794713,0.8024607531985798
selfgr_hmm_a070,single,reference,overall,3783989,11.349942882774709,6.471268687692654,0.7948418983247573
selfgr_hmm_a070,single,reference,000_050,37877,0.8948154036925322,0.5713941518352166,1.0
selfgr_hmm_a070,single,reference,050_100,38650,1.5013185422044137,0.9320952255821475,0.9991461836998706
selfgr_hmm_a070,single,reference,100_250,115950,2.728141120661658,1.6420432854274472,0.9885899094437257
selfgr_hmm_a070,single,reference,250_500,193158,4.514505496350551,2.7137975594299744,0.949067602687955
selfgr_hmm_a070,single,reference,500_1000,385912,6.27497707901718,3.8607377241484135,0.8996999315906217
selfgr_hmm_a070,single,reference,1000_plus,3012442,12.455457063752903,7.377751906587537,0.7588617473797006
selfgr_hmm_a070,single,reference,hidden_spatial,972463,12.463402191823711,7.563569673369,0.7505827985229258
selfgr_hmm_a070,single,reference,hidden_typewell_purged,976449,12.266316976461479,7.411856756639684,0.7576360874966332
hmm_exp218_shrink_a050,single,reference,overall,3783989,8.33685425907129,4.874371117987608,0.8589615350361748
hmm_exp218_shrink_a050,single,reference,000_050,37877,0.7809757580700335,0.5189640872924202,1.0
hmm_exp218_shrink_a050,single,reference,050_100,38650,1.1395902937568823,0.7409618066785252,1.0
hmm_exp218_shrink_a050,single,reference,100_250,115950,1.9853038781190835,1.2288802251778783,0.997550668391548
hmm_exp218_shrink_a050,single,reference,250_500,193158,3.2853426013337677,2.00947293128391,0.9805288934447447
hmm_exp218_shrink_a050,single,reference,500_1000,385912,4.806191880051951,3.010967528805952,0.9423132734924025
hmm_exp218_shrink_a050,single,reference,1000_plus,3012442,9.136574395913499,5.544893073550773,0.8315715290120108
hmm_exp218_shrink_a050,single,reference,hidden_spatial,972463,9.561306426088185,5.639853160905929,0.8297580473498735
hmm_exp218_shrink_a050,single,reference,hidden_typewell_purged,976449,9.526437901683579,5.588888773008754,0.833617526363384
hmm_exp218_residual_scale,single,reference,overall,3783989,8.427220066306026,5.15566928428571,0.859524433078426
hmm_exp218_residual_scale,single,reference,000_050,37877,0.7855370906351746,0.5536860574194102,1.0
hmm_exp218_residual_scale,single,reference,050_100,38650,1.171402737923941,0.8132832208117723,1.0
hmm_exp218_residual_scale,single,reference,100_250,115950,2.045859986326815,1.3648788624541828,0.9979042690815006
hmm_exp218_residual_scale,single,reference,250_500,193158,3.2692270974793467,2.2038760144706666,0.9863531409519668
hmm_exp218_residual_scale,single,reference,500_1000,385912,4.74790496624224,3.2088726950501343,0.9501984908476544
hmm_exp218_residual_scale,single,reference,1000_plus,3012442,9.243785504623585,5.853820265849724,0.8308813912433832
hmm_exp218_residual_scale,single,reference,hidden_spatial,972463,9.578589738590562,5.816394388205516,0.8367156385384328
hmm_exp218_residual_scale,single,reference,hidden_typewell_purged,976449,9.547976289605296,5.768403562935698,0.8404975579881796
hmm_peer_atlas,single,reference,overall,3783989,11.569941914757122,6.607377530313827,0.7876468456964331
hmm_peer_atlas,single,reference,000_050,37877,0.8933419589812569,0.5732464931719777,1.0
hmm_peer_atlas,single,reference,050_100,38650,1.4917623215072717,0.9260169136076973,0.9990944372574385
hmm_peer_atlas,single,reference,100_250,115950,2.671724475133978,1.6092367231295817,0.9900905562742561
hmm_peer_atlas,single,reference,250_500,193158,4.368290455505731,2.639673979252089,0.9523809523809523
hmm_peer_atlas,single,reference,500_1000,385912,6.137021050359873,3.7795381687769813,0.9022730570700056
hmm_peer_atlas,single,reference,1000_plus,3012442,12.71955082647426,7.565193356121566,0.7492247153638145
hmm_peer_atlas,single,reference,hidden_spatial,972463,11.943616064554341,7.396383517611981,0.7483359264054262
hmm_peer_atlas,single,reference,hidden_typewell_purged,976449,11.737830261892494,7.2448682065624395,0.7556984542971522
exp192_likpf,single,reference,overall,3783989,11.544811567971532,7.063503320493515,0.7741941110293925
exp192_likpf,single,reference,000_050,37877,1.087967795643628,0.7594210681119149,1.0
exp192_likpf,single,reference,050_100,38650,1.8287674869167256,1.3047923825598318,0.9995084087968952
exp192_likpf,single,reference,100_250,115950,2.8840855370476848,1.9915541956392842,0.9914187149633462
exp192_likpf,single,reference,250_500,193158,4.712948012500909,3.1616733906390753,0.9537321778026279
exp192_likpf,single,reference,500_1000,385912,6.742220234496489,4.462862146397689,0.8776171769729887
exp192_likpf,single,reference,1000_plus,3012442,12.640944736700035,7.995217426398272,0.7353419584509843
exp192_likpf,single,reference,hidden_spatial,972463,13.25839717683266,8.347537842940426,0.723109259683916
exp192_likpf,single,reference,hidden_typewell_purged,976449,13.143626092728436,8.270118168213983,0.7253998928771498
exp237_row_selector,single,reference,overall,3783989,8.545227678368821,4.9981930162996475,0.8501560126099732
exp237_row_selector,single,reference,000_050,37877,0.6266459506903981,0.3767192780249228,1.0
exp237_row_selector,single,reference,050_100,38650,1.1635929277767674,0.7687639220164941,1.0
exp237_row_selector,single,reference,100_250,115950,1.9840445702732494,1.2677565592658473,0.9973695558430358
exp237_row_selector,single,reference,250_500,193158,3.242807295287592,2.065404909169242,0.9802441524555028
exp237_row_selector,single,reference,500_1000,385912,4.850606196085188,3.0792236075071844,0.9408751217894235
exp237_row_selector,single,reference,1000_plus,3012442,9.373410097779622,5.688033321990099,0.8207201997582028
exp237_row_selector,single,reference,hidden_spatial,972463,8.636892701297535,5.493005264885399,0.8197514969721214
exp237_row_selector,single,reference,hidden_typewell_purged,976449,8.598565597306223,5.459389874128731,0.8216363578640564
exp193_lgb_mean,single,reference,overall,3783989,8.456665438542778,5.318160654276644,0.8574002197152264
exp193_lgb_mean,single,reference,000_050,37877,0.9990924144582584,0.7366205239574808,1.0
exp193_lgb_mean,single,reference,050_100,38650,1.3294085809917147,0.9935674219760673,1.0
exp193_lgb_mean,single,reference,100_250,115950,2.1042472397323326,1.5039751105002157,0.998111254851229
exp193_lgb_mean,single,reference,250_500,193158,3.3109328317253075,2.3274876240807396,0.9859545035670281
exp193_lgb_mean,single,reference,500_1000,385912,4.784712138641575,3.3506698980070264,0.9532380439063828
exp193_lgb_mean,single,reference,1000_plus,3012442,9.273096576403873,6.021870817541362,0.8278413327127958
exp193_lgb_mean,single,reference,hidden_spatial,972463,9.686318152062665,5.973379320368423,0.836730034973053
exp193_lgb_mean,single,reference,hidden_typewell_purged,976449,9.660405022798132,5.925734952619133,0.8389214388053037
exp251_probability_row,single,reference,overall,3783989,8.479603434023124,5.150255912663362,0.8518994109126639
exp251_probability_row,single,reference,000_050,37877,0.8240330818693946,0.5673603301888349,1.0
exp251_probability_row,single,reference,050_100,38650,1.2439794723498219,0.8556864236335705,1.0
exp251_probability_row,single,reference,100_250,115950,2.0538691695292464,1.395600457497844,0.9980681328158689
exp251_probability_row,single,reference,250_500,193158,3.261784715308668,2.2151235868919485,0.9863117240808044
exp251_probability_row,single,reference,500_1000,385912,4.862478301256605,3.2217654295012528,0.9464618876842389
exp251_probability_row,single,reference,1000_plus,3012442,9.296117680649527,5.842749131080263,0.8217784773947515
exp251_probability_row,single,reference,hidden_spatial,972463,8.840281262034443,5.790069466131038,0.8179447444272944
exp251_probability_row,single,reference,hidden_typewell_purged,976449,8.758936725905526,5.715850034954463,0.8226000538686609
exp238_addonly,single,reference,overall,3783989,7.936690030870403,4.929301733206099,0.8664013029636185
exp238_addonly,single,reference,000_050,37877,0.8217284433533133,0.6045166292786519,1.0
exp238_addonly,single,reference,050_100,38650,1.1584944456496717,0.845230761845084,1.0
exp238_addonly,single,reference,100_250,115950,1.8909042961841664,1.3191649232562528,0.9988615782664941
exp238_addonly,single,reference,250_500,193158,3.0166864054757347,2.034018393256751,0.9843910166806449
exp238_addonly,single,reference,500_1000,385912,4.528790428637951,3.026444439567829,0.9545777275648334
exp238_addonly,single,reference,1000_plus,3012442,8.703449046952064,5.604447410639462,0.8390475235705783
exp238_addonly,single,reference,hidden_spatial,972463,8.622844870092665,5.530149291348359,0.8435498317159624
exp238_addonly,single,reference,hidden_typewell_purged,976449,8.599616739819316,5.501663969393179,0.8450303088026103
exp255_assertive,single,reference,overall,3783989,7.8779902277703,4.857219195367475,0.8673854495877235
exp255_assertive,single,reference,000_050,37877,0.7827980162191275,0.5701460483934842,1.0
exp255_assertive,single,reference,050_100,38650,1.1395604727460835,0.824847666356727,1.0
exp255_assertive,single,reference,100_250,115950,1.8714206194051035,1.2921466267114057,0.9987667097887021
exp255_assertive,single,reference,250_500,193158,3.0117195611985803,2.0053395002407357,0.9837645865043125
exp255_assertive,single,reference,500_1000,385912,4.52770786038721,2.9926432639193004,0.9527845726486868
exp255_assertive,single,reference,1000_plus,3012442,8.636624725910313,5.52180573297656,0.8405572621813133
exp255_assertive,single,reference,hidden_spatial,972463,8.433183512036624,5.4123320065824485,0.845738089778223
exp255_assertive,single,reference,hidden_typewell_purged,976449,8.408526273677502,5.3827940728583235,0.8474656638493152
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,overall,3783989,10.269696262188775,6.399210960136496,0.7932068512884155
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,000_050,37877,0.8306626118906364,0.5542794924607941,1.0
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,050_100,38650,1.3576835104401166,0.9526409888421733,1.0
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,100_250,115950,2.314438746285979,1.5804583274377426,0.9950754635618801
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,250_500,193158,3.8563080368406673,2.6176808976896506,0.971909007134056
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,500_1000,385912,5.582209104013229,3.7317540284949193,0.9259623955720475
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,1000_plus,3012442,11.282501254021481,7.312247357039364,0.751718373332997
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,hidden_spatial,972463,11.216802072922134,7.403359617497979,0.7512080151121431
fixed_likpf_exact_50_50,fixed_equal_path,all_components_have_rawtest_generation,hidden_typewell_purged,976449,11.048518763974943,7.2634148821312605,0.7594631158411755
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,overall,3783989,8.006904196563731,5.036994456564017,0.8644023542351735
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,000_050,37877,0.9822337761519333,0.7020634584889907,1.0
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,050_100,38650,1.1303615394172661,0.806933530582956,1.0
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,100_250,115950,1.7768284471244389,1.2053605111645644,0.9990599396291505
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,250_500,193158,2.9650277878876192,2.017724335352244,0.9891228942109568
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,500_1000,385912,4.5258445204201445,3.0391354071451198,0.9599831049565704
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,1000_plus,3012442,8.78593932776466,5.7427866184462015,0.8355330990604964
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,hidden_spatial,972463,8.619952749834923,5.456391958827258,0.8497022508825529
fixed_hmmlgb_exp226_50_50,fixed_equal_path,all_components_have_rawtest_inference,hidden_typewell_purged,976449,8.616698972479746,5.447315519298915,0.8486352077783889
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,overall,3783989,8.53271508582674,5.469814860755863,0.8434884456588008
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,000_050,37877,1.0190828186155205,0.7214797831426394,1.0
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,050_100,38650,1.2454990420638299,0.8630848636602523,1.0
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,100_250,115950,2.001957910792471,1.3541263408257869,0.9988788270806382
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,250_500,193158,3.3218462187099203,2.2978640098067387,0.9852245312127895
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,500_1000,385912,4.8830568805029015,3.330189844173105,0.9452828624142291
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,1000_plus,3012442,9.354424796154508,6.224522017897979,0.8114028419468325
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,hidden_spatial,972463,8.952217110969254,6.009461733296665,0.8040316186836929
fixed_exp226_selfgr_50_50,fixed_equal_path,all_components_have_rawtest_generation,hidden_typewell_purged,976449,8.883661678986844,5.95049186046599,0.8088051705721446
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,overall,3783989,8.238331467712172,5.398484739670763,0.8458843300020163
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,000_050,37877,0.9990666400305281,0.7164903085769398,1.0
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,050_100,38650,1.176485315873457,0.8548530355554658,1.0
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,100_250,115950,1.8239292769817017,1.2935586059622952,0.9995687796463993
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,250_500,193158,3.0687592144840345,2.1868687921206345,0.9895060002692097
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,500_1000,385912,4.613952800167981,3.2228958894419666,0.953328738157922
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,1000_plus,3012442,9.042323802730824,6.158284467333728,0.8130805505964928
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,hidden_spatial,972463,8.748107515841985,5.906185270773959,0.8217731677194916
fixed_exp226_w500_50_50,fixed_equal_derived_path,all_components_have_rawtest_generation,hidden_typewell_purged,976449,8.69413157050806,5.851076517517172,0.8248090786103525
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,overall,3783989,7.836288269070042,4.974069382197994,0.8639779343967438
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,000_050,37877,0.8110655239845722,0.5847201808237749,1.0
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,050_100,38650,1.0933326551781142,0.7656852782044814,1.0
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,100_250,115950,1.8358627861636385,1.2325133296499629,0.9991030616645106
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,250_500,193158,3.0514673211350165,2.0700412764555685,0.9878959194027687
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,500_1000,385912,4.504829978547238,3.0237419052343935,0.9571949045378221
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,1000_plus,3012442,8.589818523679185,5.663322117271972,0.8354341759940939
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,hidden_spatial,972463,8.399767787482338,5.521381230008923,0.8377830313338399
fixed_hmmlgb_exp226_selfgr_equal3,fixed_equal_path,components_have_existing_rawtest_generation_paths,hidden_typewell_purged,976449,8.347629376558663,5.467297277825518,0.841173476546138
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,overall,3783989,7.838521094349034,5.027056298353829,0.8591811445540671
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,000_050,37877,0.8110298916662315,0.5840266668399141,1.0
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,050_100,38650,1.0892560021629245,0.7617041626239477,1.0
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,100_250,115950,1.8149239944196076,1.2234264780526527,0.9991030616645106
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,250_500,193158,3.004978664458171,2.0521009762867943,0.9896613135360689
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,500_1000,385912,4.445079014091548,3.0021166479501864,0.9569876033914467
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,1000_plus,3012442,8.597590515334156,5.734210262323635,0.8293221910994469
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,hidden_spatial,972463,8.207681651244531,5.505108082826322,0.835735652667505
fixed_hmmlgb_exp226_exact_equal3,fixed_equal_path,all_components_have_rawtest_generation,hidden_typewell_purged,976449,8.154818407498187,5.450647355038239,0.8391477691103171
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,overall,3783989,7.648346049383338,4.8321782969194755,0.8693394721813409
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,000_050,37877,0.7762089696772341,0.5608102996211441,1.0
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,050_100,38650,1.053143542368242,0.7367612917407919,1.0
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,100_250,115950,1.7699912997060203,1.183722251138699,0.9990858128503666
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,250_500,193158,2.932531984211208,1.9734234717538568,0.9889158098551445
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,500_1000,385912,4.366709355523574,2.9131604221785,0.9599468272559547
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,1000_plus,3012442,8.38707065169525,5.508000882711494,0.8417516420233153
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,hidden_spatial,972463,8.199108043104347,5.3099634246407295,0.849741326919379
fixed_hmmlgb_exp226_exact_50_30_20,fixed_rounded_convex_path,all_components_have_rawtest_generation_but_weights_are_post_audit,hidden_typewell_purged,976449,8.165397241755192,5.266224313754636,0.8523046262528816
fixed_hmmlgb_hmmshrink_exp226_exact_equal4,fixed_equal_path,exp240_component_has_no_rawtest_port,overall,3783989,7.68930280524387,4.863092286026358,0.8642163071827111
